ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
HTI,South,1086195,Median age at first sexual intercourse [Women]: 25-49,17.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412008,1412008,Region,South,0,,0,1,SXAAFSWM2B,HTDHS2000412008,2000,DHS,,,,,1
HTI,Grande-Anse/Nippes,1069877,Median age at first sexual intercourse [Women]: 25-49,17.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM2B,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078321,Median age at first sexual intercourse [Women]: 25-49,18.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM2B,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078263,Median age at first sexual intercourse [Men]: 20-24,15,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSMM20,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086230,Median age at first sexual intercourse [Men]: 20-24,15.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSMM20,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078286,Median age at first sexual intercourse [Men]: 20-24,16.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSMM20,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069868,Median age at first sexual intercourse [Men]: 20-24,15.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412004,1412004,Region,North,0,,0,1,SXAAFSMM20,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086218,Median age at first sexual intercourse [Men]: 20-24,17.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSMM20,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140136,Median age at first sexual intercourse [Men]: 20-24,16.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSMM20,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086224,Median age at first sexual intercourse [Men]: 20-24,18.4,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_M_M20,51704100,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSMM20,HTDHS2000412007,2000,DHS,,,,,1
